ORDER_ID,RETAILER_ID,BRAND_ID,ORDER_CREATED,ORDER_STATE,TOTAL_GMV
3768277,324308,6469,2021-07-01 00:00:00,PROCESSING,645.39
3764591,339669,18628,2021-07-01 00:00:00,PROCESSING,2508.2880000000000
3764990,77158,19718,2021-07-01 00:00:00,PROCESSING,143.775
3765019,77158,899,2021-07-01 00:00:00,PROCESSING,613.4400000000000
3765201,75148,231231,2021-07-01 00:00:00,PROCESSING,242.79870000000000
3765220,266379,135632,2021-07-01 00:00:00,PROCESSING,338.67000000000000
3765273,146511,31751,2021-07-01 00:00:00,PROCESSING,430.26
3765306,339669,32238,2021-07-01 00:00:00,PROCESSING,3512.6682
3765392,374515,9320,2021-07-01 00:00:00,PROCESSING,299.904
3766074,233606,75426,2021-07-01 00:00:00,PROCESSING,511.2
3766074,233606,84856,2021-07-01 00:00:00,PROCESSING,57.4674
3766303,33946,23678,2021-07-01 00:00:00,PROCESSING,489.9
3766307,33946,175759,2021-07-01 00:00:00,PROCESSING,445.17000000000000
3766403,367832,58424,2021-07-01 00:00:00,PROCESSING,436.437
3766418,370050,221407,2021-07-01 00:00:00,PROCESSING,323.76
3767017,130421,8402,2021-07-01 00:00:00,PROCESSING,364.23000000000000
3767037,363572,29081,2021-07-01 00:00:00,PROCESSING,632.61
3767261,355988,171745,2021-07-01 00:00:00,PROCESSING,595.548
3767379,272577,8624,2021-07-01 00:00:00,PROCESSING,319.5
3768004,353997,20476,2021-07-01 00:00:00,PROCESSING,484.575
3768214,342072,50534,2021-07-01 00:00:00,PROCESSING,281.16000000000000
3764539,358991,52493,2021-07-01 00:00:00,PROCESSING,455.82
3764541,339669,121463,2021-07-01 00:00:00,PROCESSING,7060.2045
3583889,324184,83143,2021-07-01 00:00:00,PROCESSING,47.925
3764896,339669,213468,2021-07-01 00:00:00,PROCESSING,321.6726
3764913,120124,32080,2021-07-01 00:00:00,PROCESSING,883.9500000000000
3765027,77158,17252,2021-07-01 00:00:00,PROCESSING,219.26220000000000
3765180,339669,56101,2021-07-01 00:00:00,PROCESSING,260.286
3765260,343427,16541,2021-07-01 00:00:00,PROCESSING,95.85
3765557,301709,9320,2021-07-01 00:00:00,PROCESSING,203.202
3765745,181395,27277,2021-07-01 00:00:00,PROCESSING,70.29000000000000
3765768,354193,148703,2021-07-01 00:00:00,PROCESSING,675.2100000000000
3765964,368248,9320,2021-07-01 00:00:00,PROCESSING,357.84
3766062,95552,75343,2021-07-01 00:00:00,PROCESSING,1454.8752
3766135,333392,13979,2021-07-01 00:00:00,PROCESSING,12.78
3766205,356802,187270,2021-07-01 00:00:00,PROCESSING,337.60500000000000
3766206,176746,14743,2021-07-01 00:00:00,PROCESSING,639.0
3766816,355365,66880,2021-07-01 00:00:00,PROCESSING,383.4
3766830,16753,227761,2021-07-01 00:00:00,PROCESSING,229.91220000000000
3767385,343727,34472,2021-07-01 00:00:00,PROCESSING,408.96
3767506,58986,239349,2021-07-01 00:00:00,PROCESSING,325.89
3767531,356670,14499,2021-07-01 00:00:00,PROCESSING,364.23000000000000
3767836,347994,10386,2021-07-01 00:00:00,PROCESSING,159.75
3768037,374817,14501,2021-07-01 00:00:00,PROCESSING,255.6
3768175,330720,214316,2021-07-01 00:00:00,PROCESSING,508.644
3768311,342072,108502,2021-07-01 00:00:00,PROCESSING,315.66600000000000
3768326,274221,13487,2021-07-01 00:00:00,PROCESSING,648.5850000000000
3764576,360712,50521,2021-07-01 00:00:00,PROCESSING,497.78100000000000
3764615,368442,43912,2021-07-01 00:00:00,PROCESSING,438.78
3765280,146511,7492,2021-07-01 00:00:00,PROCESSING,176.6835
3765320,351588,231388,2021-07-01 00:00:00,PROCESSING,355.53960000000000
3765729,373271,110970,2021-07-01 00:00:00,PROCESSING,566.5800000000000
3766198,334458,3564,2021-07-01 00:00:00,PROCESSING,1060.74
3766304,356955,50336,2021-07-01 00:00:00,PROCESSING,345.06
3766311,176746,13574,2021-07-01 00:00:00,PROCESSING,647.52
3766399,357991,119283,2021-07-01 00:00:00,PROCESSING,604.494
3766447,206874,75515,2021-07-01 00:00:00,PROCESSING,153.36000000000000
3766525,142372,84585,2021-07-01 00:00:00,PROCESSING,460.08
